id;name;phone;address;note;registre
1;innovate;(336) 230-2695 x4960;revolutionize intuitive;Comoro Franc;Norway Congolese Franc
2;Cambridgeshire SAS Investment Account;1-270-637-0848 x1975;grow Tools Svalbard & Jan Mayen Islands;Eritrea Handmade;best-of-breed
3;Estates panel Legacy;938.492.6558 x119;Response Keyboard Human;Hawaii Illinois Internal;reboot Ergonomic Frozen Pizza Shoes
4;Bedfordshire;893.140.0975;connect;content;architect maroon
5;Optimization withdrawal;1-135-822-2431 x2178;zero tolerance methodical red;Sleek aggregate;clicks-and-mortar Practical
6;Japan;1-041-171-7018 x649;Brand Wisconsin Uzbekistan;invoice Dong;pricing structure Car
7;Brand;386-483-2285;Fantastic Cheese;Extended;Officer withdrawal
8;Fresh indigo Tasty Soft Shoes;1-262-386-3037;complexity Directives indigo;Quality;Brunei Darussalam
9;Wooden Orchard generating;(347) 601-9568 x0963;program Industrial e-business;Assistant Strategist Steel;Small Cotton Shoes interfaces PCI
10;hub;1-699-706-7249 x3734;Analyst;Concrete extranet;Right-sized Forks
